dataset,w_f1_mean,w_f1_std,bor_mean,bor_std,purity_mean,purity_std,coverage_mean,coverage_std,f1_mean,f1_std,pred_mean,pred_std,gold_mean,gold_std
dialseg711,0.628719,0.086612,1.666667,0.553055,0.877924,0.058466,0.766197,0.070356,0.354683,0.059590,3403.3,1129.3,2042.0,0.0
superseg,0.515791,0.075662,0.668719,0.161989,0.812164,0.047802,0.937990,0.015976,0.474843,0.073825,1954.7,473.5,2923.0,0.0
tiage,0.335302,0.024864,0.338164,0.085967,0.671974,0.030526,0.945843,0.014313,0.247817,0.024090,70.0,17.8,207.0,0.0

# Meta information
n_runs,3
seeds,"11,22,33"
temperature_mean,0.927897
temperature_std,0.012352
