dataset,n_dialogues_total,n_used,n_excl_no_pos,n_excl_all_pos,n_excl_insufficient,mean_ap,std_ap,mean_auroc,std_auroc
dialseg711,711,711,0,0,0,0.5088783263307437,0.199821115328076,0.6768102409176661,0.16411925693734258
superseg,1322,1173,149,0,0,0.819295085183832,0.22438481092262103,0.8355167187648006,0.19162046245449377
tiage,100,86,14,0,0,0.5804129752676265,0.2399996155077906,0.6800456810631229,0.19830743687331226
