dataset,model,g,step,tau,bor,wf1,wf1_1to1,coverage,purity,n_pred_boundaries,n_gold_boundaries,seed
superseg,csm,2,0,0.0,1.1922682175846733,0.614604148632359,0.6413189055019615,0.7657603318685013,0.8529395696755756,3485,2923,
superseg,csm,2,1,5.960464477539063e-08,1.0249743414300376,0.5927879142304701,0.614893041065507,0.7961500432245515,0.833980500924525,2996,2923,
superseg,csm,2,2,1.1920928955078125e-07,1.0177899418405747,0.591423939492819,0.613690940090335,0.797751152654708,0.833135821146411,2975,2923,
superseg,csm,2,3,1.7881393432617188e-07,1.013684570646596,0.5905558464159514,0.6128048367836567,0.7982554390894028,0.8328710707681962,2963,2923,
superseg,csm,2,4,2.384185791015625e-07,1.007184399589463,0.5892302935018963,0.6108447234392771,0.7991211308022959,0.8322627752563456,2944,2923,
superseg,csm,2,5,2.980232238769531e-07,1.0020526855969893,0.5883946188386876,0.6098109362481525,0.7999468998391087,0.8315861909564631,2929,2923,
superseg,csm,2,6,3.5762786865234375e-07,0.9948682860075265,0.586481932432809,0.6079414743938193,0.80104372283457,0.8308896453185409,2908,2923,
superseg,csm,2,7,4.172325134277344e-07,0.990078686281218,0.5858947989409856,0.6071021976846486,0.8017633816007492,0.8303013111447302,2894,2923,
superseg,csm,2,8,4.76837158203125e-07,0.9839206294902497,0.5828876909036205,0.6039191897361338,0.8022172393919746,0.8290752647503782,2876,2923,
superseg,csm,2,9,5.364418029785156e-07,0.9791310297639412,0.5802930171289165,0.6012014460577244,0.8026490346516822,0.8282074718440074,2862,2923,
superseg,csm,2,10,5.960464477539062e-07,0.9736572015053028,0.5778202125759303,0.5985341310227845,0.803134410345076,0.8272080541747712,2846,2923,
superseg,csm,2,11,6.556510925292969e-07,0.9681833732466644,0.5754284540570916,0.5953373152314151,0.8039118519318972,0.8265188627140215,2830,2923,
superseg,csm,2,12,7.479035075585625e-07,0.9541566883339035,0.5698801025934602,0.5883277337891559,0.8054887976370578,0.8244050620752587,2789,2923,
superseg,csm,2,13,8.344650268554688e-07,0.9483407458091002,0.5673880871286763,0.5859731964119257,0.8068386643613572,0.823456373219989,2772,2923,
superseg,csm,2,14,8.940696716308594e-07,0.9421826890181321,0.5655114211824188,0.5840965304656682,0.8076476238503469,0.8221914547462958,2754,2923,
superseg,csm,2,15,9.5367431640625e-07,0.9373930892918235,0.5626916195350831,0.5813559738294989,0.8080951780611386,0.8206891014096007,2740,2923,
superseg,csm,2,16,1.0728836059570312e-06,0.9271296613068765,0.5585816850923195,0.5767165386303056,0.8098034483586677,0.8184544821458589,2710,2923,
superseg,csm,2,17,1.1324882507324219e-06,0.9223400615805679,0.5563304063660031,0.5733378195178498,0.8103581634368321,0.8178718512114881,2696,2923,
superseg,csm,2,18,1.2516975402832031e-06,0.9134450906602806,0.5526491153927303,0.5689397213981178,0.811381444660567,0.8164151237903129,2670,2923,
superseg,csm,2,19,1.430511474609375e-06,0.9042080054738283,0.5489137937300259,0.5652692365627312,0.8126390089570876,0.8150028216026703,2643,2923,
