dataset,model,auc_wf1,auc_wf1_1to1,auc_coverage
dialseg711,neural,0.35560518712787526,0.3536507905796899,0.6279107083201053
dialseg711,texttiling,0.3049189797354184,0.30443583841717187,0.6089935714140335
dialseg711,csm,0.3219479323307401,0.3230121468206994,0.6295251288717832
dialseg711,random,0.282914650471035,0.27973887188671903,0.5983201290409358
superseg,neural,0.28959824107554555,0.295435560517732,0.5227795586098326
superseg,texttiling,0.22859908669455214,0.23351441406389994,0.49660051858001125
superseg,csm,0.2074711746172097,0.21281828097733307,0.47727870014606677
superseg,random,0.21791454116006673,0.22290305028289709,0.4813041398325956
