dataset,model,g,step,tau,bor,wf1,wf1_1to1,exact_f1,coverage,purity,n_pred_boundaries,n_gold_boundaries,seed
superseg,random,2,0,7.2449638492178e-05,1.2008210742387957,0.6014443433816933,0.6330247580625795,0.3790036195104274,0.7659703011310426,0.8555450495881661,3510,2923,0
superseg,random,2,1,0.004294643828027586,1.1984262743756415,0.6014407413357311,0.6330211560166175,0.37882351721232205,0.7662224443483899,0.8552824004034292,3503,2923,0
superseg,random,2,2,0.009247138189122737,1.1956893602463223,0.6005834543967498,0.632398002065173,0.3782147714447261,0.7665847501380784,0.8549882333165236,3495,2923,0
superseg,random,2,3,0.01419580736242189,1.193294560383168,0.5999963209049264,0.6315155008044568,0.3776348420448269,0.7668873219988954,0.8547360900991764,3488,2923,0
superseg,random,2,4,0.01912784323788083,1.1905576462538487,0.6000053260198317,0.6312003217827726,0.37719359141446884,0.7673075606944746,0.8543347621448982,3480,2923,0
superseg,random,2,5,0.02468588471238086,1.1898734177215189,0.6001061833067707,0.6313011790697116,0.3772944487014078,0.7676227397161588,0.8543032442427297,3478,2923,0
superseg,random,2,6,0.028957015057352434,1.1871365035921997,0.59967753983728,0.6308473212784862,0.37671451930150873,0.7681981665586053,0.8540511010253823,3470,2923,0
superseg,random,2,7,0.033025919511583623,1.1850838179952103,0.5991480390808502,0.6300728813966332,0.3764839883599339,0.7686394171889633,0.854019583123214,3464,2923,0
superseg,random,2,8,0.03864779342884249,1.1833732466643858,0.5986401506001933,0.6294137069855679,0.3757239566619294,0.7688159174411066,0.8538619936123719,3459,2923,0
superseg,random,2,9,0.04291803978457764,1.1809784468012317,0.5973037915482518,0.6279260620032179,0.37436238328825316,0.7690995785606224,0.8533787191124558,3452,2923,0
superseg,random,2,10,0.0481251983567062,1.1782415326719125,0.5967995051135568,0.6271047955238576,0.3734294533840676,0.7695102118003025,0.8531391830559757,3444,2923,0
superseg,random,2,11,0.05431604253462208,1.176530961341088,0.5963348411844452,0.6263735801935499,0.3728495239841685,0.7696236762481088,0.852813498066902,3439,2923,0
superseg,random,2,12,0.058666977507535925,1.1755046185425932,0.5959638304503482,0.6258584876209687,0.3725505541693136,0.7696993192133131,0.8526769204908389,3436,2923,0
superseg,random,2,13,0.0627064150385011,1.172767704413274,0.5956360442677965,0.6253848185769517,0.37195261453960393,0.7701783913262734,0.8523827534039333,3428,2923,0
superseg,random,2,14,0.06834594673992621,1.1713992473486143,0.5958125445199397,0.6254172369906106,0.3722011557109893,0.7705439989914272,0.8522987056648177,3424,2923,0
superseg,random,2,15,0.07305624373635292,1.1672938761546356,0.5942276442966129,0.6233676728381721,0.37166805290859756,0.7711491427130609,0.851809127584468,3412,2923,0
superseg,random,2,16,0.07923971734074468,1.1645569620253164,0.5933583505377578,0.6222618447278053,0.37109532760062264,0.7715872415532021,0.8514876449823501,3404,2923,0
superseg,random,2,17,0.0850851485565458,1.1614779336298324,0.5929459162750966,0.6219250534303484,0.37058203605102247,0.7721860816944024,0.8513006387628173,3395,2923,0
superseg,random,2,18,0.09172898190990705,1.1594252480328429,0.592110241611888,0.6206139087001417,0.3699264636859191,0.77243822491175,0.8511430492519753,3389,2923,0
superseg,random,2,19,0.09629432694970366,1.1563462196373588,0.5917644451995258,0.6205778882405205,0.3699949025591991,0.7732093629181375,0.851185073121533,3380,2923,0
superseg,random,2,20,0.10003147421557203,1.1546356483065343,0.5913826283275424,0.6200231731623562,0.36959147341144316,0.7735371491006892,0.8510169776433012,3375,2923,0
superseg,random,2,21,0.10472196765411097,1.1512145056448855,0.5912313423971339,0.619846672910213,0.369515830446239,0.7744247532598516,0.8508488821650698,3365,2923,0
superseg,random,2,22,0.1088579692817093,1.1471091344509066,0.5909683930419002,0.6194720601301539,0.369180840171763,0.7752253079749297,0.8504601613716591,3353,2923,0
superseg,random,2,23,0.11413186225118424,1.1443722203215874,0.5904605045612431,0.6188453041327474,0.36829113481912273,0.7754669452248878,0.8500756429652043,3345,2923,0
superseg,random,2,24,0.11761127432542855,1.1419774204584332,0.5901363204246537,0.6184670893067262,0.3684406197265501,0.7759874408664121,0.8498823331652379,3338,2923,0
superseg,random,2,25,0.12236142742345199,1.1395826205952788,0.5892790334856722,0.6176854453329492,0.36717990363981284,0.776208066181591,0.8495251302739956,3331,2923,0
superseg,random,2,27,0.13247273582832358,1.1354772494013001,0.588998073900628,0.6173288427827006,0.36626498396543783,0.7767985015488799,0.8490355521936459,3319,2923,0
superseg,random,2,28,0.13847499128317742,1.1310297639411564,0.5878115528978749,0.6163400811661023,0.36564903410591765,0.7775459260860169,0.8486321230458901,3306,2923,0
superseg,random,2,29,0.1429540858042539,1.1279507355456722,0.5874009196581947,0.6158592080301611,0.3654473195320397,0.7780838316163582,0.8482644141872584,3297,2923,0
superseg,random,2,30,0.14780520831839347,1.1245295928840233,0.5864595849800975,0.6147948034483587,0.3651015231196774,0.778547144778234,0.8477947974449487,3287,2923,0
superseg,random,2,31,0.15236469685865417,1.1217926787547041,0.5857247676038279,0.6142869149677017,0.36459363463902045,0.7791796040150806,0.8476119936123718,3279,2923,0
superseg,random,2,32,0.15763191962583442,1.1193978788915497,0.5844892658388252,0.6131270561679034,0.3636354904131001,0.7793582054607018,0.8471581358211463,3272,2923,0
superseg,random,2,33,0.16212049567552714,1.115292507697571,0.5831024781434143,0.6114701150253343,0.36194252881091005,0.7798120632519272,0.8462062951756598,3260,2923,0
superseg,random,2,34,0.1659726229932937,1.111871365035922,0.5824937323758184,0.610780323223591,0.3610240070905729,0.7802347033114808,0.845819675575727,3250,2923,0
superseg,random,2,35,0.17163096472593814,1.1091344509066028,0.5818201497809045,0.6100815263069423,0.35987135238269885,0.7805708942679442,0.8452481509497395,3242,2923,0
superseg,random,2,36,0.17749397725979654,1.1074238795757783,0.5818615733094686,0.6098275820666138,0.36018833242736426,0.781018448478736,0.8452943772062532,3237,2923,0
superseg,random,2,37,0.18348378064979334,1.105371193978789,0.5814257257480538,0.6091467953797757,0.35923018820144387,0.7810814842830728,0.8449434778954447,3231,2923,0
